,Date,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,Tourist Arrivals
0,01-06-2010,28938.0,57215.0,66854.0,94185.0,94966.0,26738.0
1,01-07-2010,26738.0,28938.0,57215.0,66854.0,94185.0,40931.0
2,01-08-2010,40931.0,26738.0,28938.0,57215.0,66854.0,56230.0
3,01-09-2010,56230.0,40931.0,26738.0,28938.0,57215.0,44673.0
4,01-10-2010,44673.0,56230.0,40931.0,26738.0,28938.0,59414.0
5,01-11-2010,59414.0,44673.0,56230.0,40931.0,26738.0,73843.0
6,01-12-2010,73843.0,59414.0,44673.0,56230.0,40931.0,88998.0
7,01-01-2011,88998.0,73843.0,59414.0,44673.0,56230.0,106314.0
8,01-02-2011,106314.0,88998.0,73843.0,59414.0,44673.0,94185.0
9,01-03-2011,94185.0,106314.0,88998.0,73843.0,59414.0,71199.0
10,01-04-2011,71199.0,94185.0,106314.0,88998.0,73843.0,59275.0
11,01-05-2011,59275.0,71199.0,94185.0,106314.0,88998.0,29704.0
12,01-06-2011,29704.0,59275.0,71199.0,94185.0,106314.0,27509.0
13,01-07-2011,27509.0,29704.0,59275.0,71199.0,94185.0,41954.0
14,01-08-2011,41954.0,27509.0,29704.0,59275.0,71199.0,58067.0
15,01-09-2011,58067.0,41954.0,27509.0,29704.0,59275.0,46056.5
16,01-10-2011,46056.5,58067.0,41954.0,27509.0,29704.0,61552.0
17,01-11-2011,61552.0,46056.5,58067.0,41954.0,27509.0,76338.0
18,01-12-2011,76338.0,61552.0,46056.5,58067.0,41954.0,92343.5
19,01-01-2012,92343.5,76338.0,61552.0,46056.5,58067.0,509758.5
20,01-02-2012,509758.5,92343.5,76338.0,61552.0,46056.5,433032.5
21,01-03-2012,433032.5,509758.5,92343.5,76338.0,61552.0,425142.5
22,01-04-2012,425142.5,433032.5,509758.5,92343.5,76338.0,436261.0
23,01-05-2012,436261.0,425142.5,433032.5,509758.5,92343.5,508055.5
24,01-06-2012,508055.5,436261.0,425142.5,433032.5,509758.5,386106.0
25,01-07-2012,386106.0,508055.5,436261.0,425142.5,433032.5,383038.0
26,01-08-2012,383038.0,386106.0,508055.5,436261.0,425142.5,450531.0
27,01-09-2012,450531.0,383038.0,386106.0,508055.5,436261.0,469234.75
28,01-10-2012,469234.75,450531.0,383038.0,386106.0,508055.5,588635.0
29,01-11-2012,588635.0,469234.75,450531.0,383038.0,386106.0,574231.0
30,01-12-2012,574231.0,588635.0,469234.75,450531.0,383038.0,647128.25
31,01-01-2013,647128.25,574231.0,588635.0,469234.75,450531.0,753183.25
32,01-02-2013,753183.25,647128.25,574231.0,588635.0,469234.75,637798.75
33,01-03-2013,637798.75,753183.25,647128.25,574231.0,588635.0,635508.75
34,01-04-2013,635508.75,637798.75,753183.25,647128.25,574231.0,660185.0
35,01-05-2013,660185.0,635508.75,637798.75,753183.25,647128.25,801070.75
36,01-06-2013,801070.75,660185.0,635508.75,637798.75,753183.25,591976.5
37,01-07-2013,591976.5,801070.75,660185.0,635508.75,637798.75,580493.0
38,01-08-2013,580493.0,591976.5,801070.75,660185.0,635508.75,675002.0
39,01-09-2013,675002.0,580493.0,591976.5,801070.75,660185.0,719685.375
40,01-10-2013,719685.375,675002.0,580493.0,591976.5,801070.75,881724.5
41,01-11-2013,881724.5,719685.375,675002.0,580493.0,591976.5,858670.5
42,01-12-2013,858670.5,881724.5,719685.375,675002.0,580493.0,957984.125
43,01-01-2014,957984.125,858670.5,881724.5,719685.375,675002.0,897156.125
44,01-02-2014,897156.125,957984.125,858670.5,881724.5,719685.375,784026.875
45,01-03-2014,784026.875,897156.125,957984.125,858670.5,881724.5,771510.875
46,01-04-2014,771510.875,784026.875,897156.125,957984.125,858670.5,807761.5
47,01-05-2014,807761.5,771510.875,784026.875,897156.125,957984.125,982355.375
48,01-06-2014,982355.375,807761.5,771510.875,784026.875,897156.125,724840.25
49,01-07-2014,724840.25,982355.375,807761.5,771510.875,784026.875,714107.5
50,01-08-2014,714107.5,724840.25,982355.375,807761.5,771510.875,821489.0
51,01-09-2014,821489.0,714107.5,724840.25,982355.375,807761.5,882900.1875
52,01-10-2014,882900.1875,821489.0,714107.5,724840.25,982355.375,1058735.25
53,01-11-2014,1058735.25,882900.1875,821489.0,714107.5,724840.25,1026126.75
54,01-12-2014,1026126.75,1058735.25,882900.1875,821489.0,714107.5,1138417.063
55,01-01-2015,1138417.063,1026126.75,1058735.25,882900.1875,821489.0,987193.5625
56,01-02-2015,987193.5625,1138417.063,1026126.75,1058735.25,882900.1875,895068.9375
57,01-03-2015,895068.9375,987193.5625,1138417.063,1026126.75,1058735.25,865988.9375
58,01-04-2015,865988.9375,895068.9375,987193.5625,1138417.063,1026126.75,910302.75
59,01-05-2015,910302.75,865988.9375,895068.9375,987193.5625,1138417.063,1094352.688
60,01-06-2015,1094352.688,910302.75,865988.9375,895068.9375,987193.5625,808227.125
61,01-07-2015,808227.125,1094352.688,910302.75,865988.9375,895068.9375,813996.75
62,01-08-2015,813996.75,808227.125,1094352.688,910302.75,865988.9375,932425.5
63,01-09-2015,932425.5,813996.75,808227.125,1094352.688,910302.75,1006080.094
64,01-10-2015,1006080.094,932425.5,813996.75,808227.125,1094352.688,1197963.125
65,01-11-2015,1197963.125,1006080.094,932425.5,813996.75,808227.125,1106873.375
66,01-12-2015,1106873.375,1197963.125,1006080.094,932425.5,813996.75,1272508.031
67,01-01-2016,1272508.031,1106873.375,1197963.125,1006080.094,932425.5,1104133.781
68,01-02-2016,1104133.781,1272508.031,1106873.375,1197963.125,1006080.094,964815.9688
69,01-03-2016,964815.9688,1104133.781,1272508.031,1106873.375,1197963.125,940432.9688
70,01-04-2016,940432.9688,964815.9688,1104133.781,1272508.031,1106873.375,1061777.375
71,01-05-2016,1061777.375,940432.9688,964815.9688,1104133.781,1272508.031,1216341.344
72,01-06-2016,1216341.344,1061777.375,940432.9688,964815.9688,1104133.781,917794.0625
73,01-07-2016,917794.0625,1216341.344,1061777.375,940432.9688,964815.9688,948579.375
74,01-08-2016,948579.375,917794.0625,1216341.344,1061777.375,940432.9688,1035479.25
75,01-09-2016,1035479.25,948579.375,917794.0625,1216341.344,1061777.375,1097519.547
76,01-10-2016,1097519.547,1035479.25,948579.375,917794.0625,1216341.344,1288576.563
77,01-11-2016,1288576.563,1097519.547,1035479.25,948579.375,917794.0625,1254241.688
78,01-12-2016,1254241.688,1288576.563,1097519.547,1035479.25,948579.375,1452558.516
79,01-01-2017,1452558.516,1254241.688,1288576.563,1097519.547,1035479.25,1263308.391
80,01-02-2017,1263308.391,1452558.516,1254241.688,1288576.563,1097519.547,1095796.984
81,01-03-2017,1095796.984,1263308.391,1452558.516,1254241.688,1288576.563,1084441.984
82,01-04-2017,1084441.984,1095796.984,1263308.391,1452558.516,1254241.688,1266164.688
83,01-05-2017,1266164.688,1084441.984,1095796.984,1263308.391,1452558.516,1405336.672
84,01-06-2017,1405336.672,1266164.688,1084441.984,1095796.984,1263308.391,1001016.031
85,01-07-2017,1001016.031,1405336.672,1266164.688,1084441.984,1095796.984,1062786.688
86,01-08-2017,1062786.688,1001016.031,1405336.672,1266164.688,1084441.984,1015528.125
87,01-09-2017,1015528.125,1062786.688,1001016.031,1405336.672,1266164.688,1108482.273
88,01-10-2017,1108482.273,1015528.125,1062786.688,1001016.031,1405336.672,1284802.281
89,01-11-2017,1284802.281,1108482.273,1015528.125,1062786.688,1001016.031,1309523.344
90,01-12-2017,1309523.344,1284802.281,1108482.273,1015528.125,1062786.688,1546268.258
91,01-01-2018,1546268.258,1309523.344,1284802.281,1108482.273,1015528.125,1389429.695
92,01-02-2018,1389429.695,1546268.258,1309523.344,1284802.281,1108482.273,1215730.992
93,01-03-2018,1215730.992,1389429.695,1546268.258,1309523.344,1284802.281,1211846.992
94,01-04-2018,1211846.992,1215730.992,1389429.695,1546268.258,1309523.344,1439710.844
95,01-05-2018,1439710.844,1211846.992,1215730.992,1389429.695,1546268.258,1612161.336
96,01-06-2018,1612161.336,1439710.844,1211846.992,1215730.992,1389429.695,1171256.016
97,01-07-2018,1171256.016,1612161.336,1439710.844,1211846.992,1215730.992,1246647.344
98,01-08-2018,1246647.344,1171256.016,1612161.336,1439710.844,1211846.992,1168351.563
99,01-09-2018,1168351.563,1246647.344,1171256.016,1612161.336,1439710.844,1288409.637
100,01-10-2018,1288409.637,1168351.563,1246647.344,1171256.016,1612161.336,1439447.641
101,01-11-2018,1439447.641,1288409.637,1168351.563,1246647.344,1171256.016,1481206.672
102,01-12-2018,1481206.672,1439447.641,1288409.637,1168351.563,1246647.344,1749645.629
103,01-01-2019,1749645.629,1481206.672,1439447.641,1288409.637,1168351.563,1557360.348
104,01-02-2019,1557360.348,1749645.629,1481206.672,1439447.641,1288409.637,1299840.996
105,01-03-2019,1299840.996,1557360.348,1749645.629,1481206.672,1439447.641,901253.9961
106,01-04-2019,901253.9961,1299840.996,1557360.348,1749645.629,1481206.672,721550.9219
107,01-05-2019,721550.9219,901253.9961,1299840.996,1557360.348,1749645.629,809765.668
108,01-06-2019,809765.668,721550.9219,901253.9961,1299840.996,1557360.348,600244.5078
109,01-07-2019,600244.5078,809765.668,721550.9219,901253.9961,1299840.996,643518.1719
110,01-08-2019,643518.1719,600244.5078,809765.668,721550.9219,901253.9961,614751.2813
111,01-09-2019,614751.2813,643518.1719,600244.5078,809765.668,721550.9219,707383.8184
112,01-10-2019,707383.8184,614751.2813,643518.1719,600244.5078,809765.668,824939.3203
113,01-11-2019,824939.3203,707383.8184,614751.2813,643518.1719,600244.5078,905148.8359
114,01-12-2019,905148.8359,824939.3203,707383.8184,614751.2813,643518.1719,1115650.314
115,01-01-2020,1115650.314,905148.8359,824939.3203,707383.8184,614751.2813,1172772.674
116,01-02-2020,1172772.674,1115650.314,905148.8359,824939.3203,707383.8184,1014022.498
117,01-03-2020,1014022.498,1172772.674,1115650.314,905148.8359,824939.3203,792527.498
118,01-04-2020,792527.498,1014022.498,1172772.674,1115650.314,905148.8359,547420.4609
119,01-05-2020,547420.4609,792527.498,1014022.498,1172772.674,1115650.314,438238.334
120,01-06-2020,438238.334,547420.4609,792527.498,1014022.498,1172772.674,360358.7539
121,01-07-2020,360358.7539,438238.334,547420.4609,792527.498,1014022.498,528853.5859
122,01-08-2020,528853.5859,360358.7539,438238.334,547420.4609,792527.498,620771.6406
123,01-09-2020,620771.6406,528853.5859,360358.7539,438238.334,547420.4609,713164.4092
124,01-10-2020,713164.4092,620771.6406,528853.5859,360358.7539,438238.334,840310.6602
125,01-11-2020,840310.6602,713164.4092,620771.6406,528853.5859,360358.7539,917205.418
126,01-12-2020,917205.418,840310.6602,713164.4092,620771.6406,528853.5859,1173866.657
127,01-01-2021,1173866.657,917205.418,840310.6602,713164.4092,620771.6406,1203317.337
128,01-02-2021,1203317.337,1173866.657,917205.418,840310.6602,713164.4092,1088028.749
129,01-03-2021,1088028.749,1203317.337,1173866.657,917205.418,840310.6602,1095722.249
130,01-04-2021,1095722.249,1088028.749,1203317.337,1173866.657,917205.418,1079277.23
131,01-05-2021,1079277.23,1095722.249,1088028.749,1203317.337,1173866.657,1174427.667
132,01-06-2021,1174427.667,1079277.23,1095722.249,1088028.749,1203317.337,969693.377
133,01-07-2021,969693.377,1174427.667,1079277.23,1095722.249,1088028.749,980580.293
134,01-08-2021,980580.293,969693.377,1174427.667,1079277.23,1095722.249,1050706.82
135,01-09-2021,1050706.82,980580.293,969693.377,1174427.667,1079277.23,1142729.205
136,01-10-2021,1142729.205,1050706.82,980580.293,969693.377,1174427.667,1289798.33
137,01-11-2021,1289798.33,1142729.205,1050706.82,980580.293,969693.377,1299918.709
138,01-12-2021,1299918.709,1289798.33,1142729.205,1050706.82,980580.293,1619263.329
139,01-01-2022,1619263.329,1299918.709,1289798.33,1142729.205,1050706.82,1203317.337
140,01-02-2022,1203317.337,1619263.329,1299918.709,1289798.33,1142729.205,1088028.749
141,01-03-2022,1088028.749,1203317.337,1619263.329,1299918.709,1289798.33,1095722.249
142,01-04-2022,1095722.249,1088028.749,1203317.337,1619263.329,1299918.709,1079277.23
143,01-05-2022,1079277.23,1095722.249,1088028.749,1203317.337,1619263.329,1174427.667
144,01-06-2022,1174427.667,1079277.23,1095722.249,1088028.749,1203317.337,969693.377
145,01-07-2022,969693.377,1174427.667,1079277.23,1095722.249,1088028.749,980580.293
146,01-08-2022,980580.293,969693.377,1174427.667,1079277.23,1095722.249,1050706.82
147,01-09-2022,1050706.82,980580.293,969693.377,1174427.667,1079277.23,1142729.205
148,01-10-2022,1142729.205,1050706.82,980580.293,969693.377,1174427.667,1289798.33
149,01-11-2022,1289798.33,1142729.205,1050706.82,980580.293,969693.377,1299918.709
150,01-12-2022,1299918.709,1289798.33,1142729.205,1050706.82,980580.293,1619263.329
